Exercise,Options,Answer
The last ______ was about linear algebra.,"exam, exams",exam
The last exam was about linear ______.,"algebra, algebras",algebra
______ is the science of rock studies.,"Geology, Geologys",Geology
Geology is the ______ of rock studies.,"science, sciences",science
Geology is the science of ______ studies.,"rock, rocks",rock
______ is not his strong point.,"Geometry, Geometrys",Geometry
Geometry is not his strong ______.,"point, points",point
The ______ of water tables is part of the field of hydrology.,"study, studies",study
The study of ______ tables is part of the field of hydrology.,"water, waters",water
The study of water ______ is part of the field of hydrology.,"tables, table",tables
We will attend the professional ______ presentation of a student of ours.,"training, trainings",training
We will attend the professional training ______ of a student of ours.,"presentation, presentations",presentation
We will attend the professional training presentation of a ______ of ours.,"student, students",student
The ______ of this article is not very clear.,"summary, summaries",summary
The summary of this ______ is not very clear.,"article, articles",article
Organic ______ is the ______ of organic molecules.,"chemistry, chemistries",chemistry
Organic ______ is the ______ of organic molecules.,"chemistry, chemistries",chemistry
Organic chemistry is the chemistry of organic ______.,"molecules, molecule",molecules
He has specialized in inorganic ______.,"chemistry, chemistries",chemistry
He has specialized in solid ______.,"mechanics, mechanic",mechanics
You can work in any ______ you like with a diploma in electronics.,"country, countries",country
You can work in any country you like with a ______ in electronics.,"diploma, diplomas",diploma
You can work in any country you like with a diploma in ______.,"electronics, electronic",electronics
You can easily find a ______ in computing.,"job, jobs",job
You can easily find a job in ______.,"computing, computings",computing
______ is a forward-looking sector.,"Robotics, Roboticss",Robotics
Robotics is a forward-looking ______.,"sector, sectors",sector
A new ______ department has just open.,"engineering, engineerings",engineering
A new engineering ______ has just open.,"department, departments",department
______ were done thanks to a powerful computer.,"Calculations, Calculationss",Calculations
Calculations were done ______ to a powerful computer.,"thanks, thank",thanks
Calculations were done thanks to a powerful ______.,"computer, computers",computer
This ______ is not very gifted for mental arithmetic.,"child, children",child
This child is not very gifted for mental ______.,"arithmetic, arithmetics",arithmetic
This ______ has two unknowns.,"equation, equations",equation
This equation has two ______.,"unknowns, unknown",unknowns
The ______ does not invest enough in research.,"state, states",state
The state does not invest enough in ______.,"research, researches",research
______ lack means in this laboratory.,"Researchers, Researcherss",Researchers
Researchers lack means in this ______.,"laboratory, laboratories",laboratory
He comes from a scientific ______.,"family, families",family
He has managed to publish an ______ in a reputed scientific journal.,"article, articles",article
He has managed to publish an article in a reputed scientific ______.,"journal, journals",journal
______ is more of an approach than a truth.,"Science, Sciences",Science
Science is more of an ______ than a truth.,"approach, approaches",approach
Science is more of an approach than a ______.,"truth, truths",truth
The ______ structure has been determined at the beginning of the twentieth century.,"atom, atoms",atom
The atom ______ has been determined at the beginning of the twentieth century.,"structure, structures",structure
The atom structure has been determined at the ______ of the twentieth century.,"beginning, beginnings",beginning
You cannot determine the ______ of an electron and its speed at the same time.,"position, positions",position
You cannot determine the position of an ______ and its speed at the same time.,"electron, electrons",electron
You cannot determine the position of an electron and its ______ at the same time.,"speed, speeds",speed
The ______ of the results is in progress.,"analysis, analyses",analysis
The analysis of the ______ is in progress.,"results, result",results
The analysis of the results is in ______.,"progress, progresses",progress
I fell asleep during the ______.,"seminar, seminars",seminar
This is a ______ with a square basis.,"pyramid, pyramids",pyramid
This is a pyramid with a square ______.,"basis, bases",basis
______ only exists in a solid state on this planet.,"Water, Waters",Water
Water only exists in a solid ______ on this planet.,"state, states",state
Water only exists in a solid state on this ______.,"planet, planets",planet
You cannot find ______ in its liquid state at this temperature.,"water, waters",water
You cannot find water in its liquid ______ at this temperature.,"state, states",state
You cannot find water in its liquid state at this ______.,"temperature, temperatures",temperature
"At this ______, water is in a gaseous state.","pressure, pressures",pressure
"At this pressure, ______ is in a gaseous state.","water, waters",water
"At this pressure, water is in a gaseous ______.","state, states",state
The French National Centre for Scientific Research has invented powdered ______.,"water, waters",water
He made this ______ in a test tube.,"experiment, experiments",experiment
He made this experiment in a ______ tube.,"test, tests",test
He made this experiment in a test ______.,"tube, tubes",tube
You find a ______ of calcium in dairy products.,"lot, lots",lot
You find a lot of ______ in dairy products.,"calcium, calciums",calcium
You find a lot of calcium in ______ products.,"dairy, dairies",dairy
Magnesium has ______ properties similar to calcium.,"chemical, chemicals",chemical
Magnesium has chemical ______ similar to calcium.,"properties, property",properties
Magnesium has chemical properties similar to ______.,"calcium, calciums",calcium
The ______ of this solution is very light.,"concentration, concentrations",concentration
The concentration of this ______ is very light.,"solution, solutions",solution
The ______ of the concentration is made in two steps.,"dilution, dilutions",dilution
The dilution of the ______ is made in two steps.,"concentration, concentrations",concentration
The dilution of the concentration is made in two ______.,"steps, step",steps
The ______ of this solution is very high.,"concentration, concentrations",concentration
The concentration of this ______ is very high.,"solution, solutions",solution
______ is very important with this heat.,"Evaporation, Evaporations",Evaporation
Evaporation is very important with this ______.,"heat, heats",heat
The ______ is purified by distillation.,"product, products",product
The product is purified by ______.,"distillation, distillations",distillation
The ______ of the product is a complicated process.,"purification, purifications",purification
The purification of the ______ is a complicated process.,"product, products",product
The purification of the product is a complicated ______.,"process, processes",process
You have to know how to analyse ______ correctly.,"curves, curve",curves
______ consists in measuring solutions of known concentration with the device.,"Calibration, Calibrations",Calibration
Calibration consists in measuring ______ of known concentration with the device.,"solutions, solution",solutions
Calibration consists in measuring solutions of known ______ with the device.,"concentration, concentrations",concentration
The ______ of the device is necessary before any new experiment.,"calibration, calibrations",calibration
The calibration of the ______ is necessary before any new experiment.,"device, devices",device
The calibration of the device is necessary before any new ______.,"experiment, experiments",experiment
"At this ______, life can be dangerous.","wavelength, wavelengths",wavelength
"At this wavelength, ______ can be dangerous.","life, lives",life
The ______ of this liquid is superior to the ______ of water.,"density, densities",density
The density of this ______ is superior to the density of water.,"liquid, liquids",liquid
The ______ of this liquid is superior to the ______ of water.,"density, densities",density
The ______ force depends on the size of the planet.,"gravitation, gravitations",gravitation
The gravitation ______ depends on the size of the planet.,"force, forces",force
The gravitation force depends on the ______ of the planet.,"size, sizes",size
The ______ of flow have increased after the rain.,"rate, rates",rate
The rate of ______ have increased after the rain.,"flow, flows",flow
The rate of flow have increased after the ______.,"rain, rains",rain
______ measures light intensity.,"Illumination, Illuminations",Illumination
Illumination measures light ______.,"intensity, intensities",intensity
The light ______ depends on the composition of the atmosphere.,"spectrum, spectrums",spectrum
The light spectrum depends on the ______ of the atmosphere.,"composition, compositions",composition
The light spectrum depends on the composition of the ______.,"atmosphere, atmospheres",atmosphere
The ______ of the current is measured by an current meter.,"intensity, intensities",intensity
The intensity of the ______ is measured by an ______ meter.,"current, currents",current
The intensity of the current is measured by an current ______.,"meter, meters",meter
the ______ of the room varies during the day.,"temperature, temperatures",temperature
the temperature of the ______ varies during the day.,"room, rooms",room
the temperature of the room varies during the ______.,"day, days",day
Photons ______ is controlled by this device.,"flow, flows",flow
Photons flow is controlled by this ______.,"device, devices",device
The ______ interval between two peaks of radioactivity is of a few minutes.,"time, times",time
The time ______ between two peaks of radioactivity is of a few minutes.,"interval, intervals",interval
The time interval between two ______ of radioactivity is of a few minutes.,"peaks, peak",peaks
The ______ between these two straight lines is of 45°.,"angle, angles",angle
The angle between these two straight ______ is of 45°.,"lines, line",lines
The angle between these two straight lines is of 45______.,"°, °S",°
The ______ of light by this molecule can be measured thanks to a spectrophotometer.,"absorption, absorptions",absorption
The absorption of ______ by this molecule can be measured thanks to a spectrophotometer.,"light, lights",light
The absorption of light by this ______ can be measured thanks to a spectrophotometer.,"molecule, molecules",molecule
The ______ of neutrons when the nucleus of the atom fissions is the starting point of the chain reaction.,"emission, emissions",emission
The emission of ______ when the nucleus of the atom fissions is the starting point of the chain reaction.,"neutrons, neutron",neutrons
The emission of neutrons when the ______ of the atom fissions is the starting point of the chain reaction.,"nucleus, nuclei",nucleus
The ______ of tubes is very quick during the centrifugal process.,"rotation, rotations",rotation
The rotation of ______ is very quick during the centrifugal process.,"tubes, tube",tubes
The rotation of tubes is very quick during the centrifugal ______.,"process, processes",process
Calculate the ______ of a sphere.,"volume, volumes",volume
Calculate the volume of a ______.,"sphere, spheres",sphere
The ______ of the disc depends on on its radius.,"area, areas",area
The area of the ______ depends on on its radius.,"disc, discs",disc
The area of the disc depends on on its ______.,"radius, radiuses",radius
The ______ pressure in the vat increases with the temperature.,"air, airs",air
The air ______ in the vat increases with the temperature.,"pressure, pressures",pressure
The air pressure in the ______ increases with the temperature.,"vat, vats",vat
______ is an energy flux.,"Heat, Heats",Heat
Heat is an ______ flux.,"energy, energies",energy
Heat is an energy ______.,"flux, fluxes",flux
You must not point the ______ at someone's eyes.,"laser, lasers",laser
You must not point the laser at someone's ______.,"eyes, eye",eyes
______ is measured with a voltmeter.,"Voltage, Voltages",Voltage
Voltage is measured with a ______.,"voltmeter, voltmeters",voltmeter
The ______ released by the explosion of an atomic bomb is phenomenal.,"energy, energies",energy
The energy released by the ______ of an atomic bomb is phenomenal.,"explosion, explosions",explosion
The energy released by the explosion of an atomic ______ is phenomenal.,"bomb, bombs",bomb
The ______ of a motor is measured in Watts.,"power, powers",power
The power of a ______ is measured in Watts.,"motor, motors",motor
The ______ was not caught.,"killer, killers",killer
He did not have any valid ______.,"alibi, alibis",alibi
The ______ of the murderer were not identified.,"accomplices, accomplice",accomplices
The accomplices of the ______ were not identified.,"murderer, murderers",murderer
The ______ happened without any witnesses.,"crime, crimes",crime
The crime happened without any ______.,"witnesses, witness",witnesses
They did not find any ______ against him.,"evidence, evidences",evidence
______ frauds are a significant loss for the state.,"Tax, Taxes",Tax
Tax ______ are a significant loss for the state.,"frauds, fraud",frauds
Tax frauds are a significant ______ for the state.,"loss, losses",loss
He is guilty of high ______.,"treason, treasons",treason
He is innocent of the ______ he is accused of.,"crimes, crime",crimes
The ______ had the defendant sentenced.,"jury, juries",jury
The jury had the ______ sentenced.,"defendant, defendants",defendant
The ______ has not been resolved yet.,"murder, murders",murder
No ______ has been demanded so far.,"ransom, ransoms",ransom
A ______ burst out in the street but there were no casualties.,"bomb, bombs",bomb
A bomb burst out in the ______ but there were no casualties.,"street, streets",street
A bomb burst out in the street but there were no ______.,"casualties, casualty",casualties
"Fortunately, the ______ did not do any casualties.","attack, attacks",attack
"Fortunately, the attack did not do any ______.","casualties, casualty",casualties
______ is legal in this country.,"Prostitution, Prostitutions",Prostitution
Prostitution is legal in this ______.,"country, countries",country
The ______ have been arrested by the police.,"prostitutes, prostitute",prostitutes
The prostitutes have been arrested by the ______.,"police, polices",police
______ is one of the major concerns of the government.,"Terrorism, Terrorisms",Terrorism
Terrorism is one of the major ______ of the government.,"concerns, concern",concerns
Terrorism is one of the major concerns of the ______.,"government, governments",government
The ______ have been arrested.,"terrorists, terrorist",terrorists
______ have been pressed against this crook.,"Charges, Chargeses",Charges
Charges have been pressed against this ______.,"crook, crooks",crook
The ______ met at court.,"lawyers, lawyer",lawyers
The lawyers met at ______.,"court, courts",court
______ in French prisons is a worrying issue.,"Overpopulation, Overpopulations",Overpopulation
Overpopulation in French ______ is a worrying issue.,"prisons, prison",prisons
Overpopulation in French prisons is a worrying ______.,"issue, issues",issue
They are afraid that their ______ might be kidnapped.,"kids, kid",kids
The ______ of demonstrations is getting more and more violent.,"suppression, suppressions",suppression
The suppression of ______ is getting more and more violent.,"demonstrations, demonstration",demonstrations
Some ______ have escaped from this prison last week.,"prisonners, prisonner",prisonners
Some ______ners have escaped from this ______ last week.,"prison, prisons",prison
Some prisonners have escaped from this prison last ______.,"week, weeks",week
They are ten in the same ______.,"cell, cells",cell
The ______ has been accused of rapes.,"army, armies",army
The army has been accused of ______.,"rapes, rape",rapes
The ______ has been poisoned by his brother.,"king, kings",king
The king has been poisoned by his ______.,"brother, brothers",brother
The ______ are taken to court.,"dealers, dealer",dealers
The dealers are taken to ______.,"court, courts",court
He has been arrested with ______ on him.,"drugs, drug",drugs
The ______ has been arrested.,"rapist, rapists",rapist
The ______ are selling in broad daylight.,"dealers, dealer",dealers
The dealers are selling in broad ______.,"daylight, daylights",daylight
He got stabbed in broad ______.,"daylight, daylights",daylight
The ______ had to be evacuated due to a bomb scare.,"theater, theaters",theater
The theater had to be evacuated due to a ______ scare.,"bomb, bombs",bomb
The theater had to be evacuated due to a bomb ______.,"scare, scares",scare
______ is under the control of the executive brunch at the moment.,"Justice, Justices",Justice
Justice is under the ______ of the executive brunch at the moment.,"control, controls",control
Justice is under the control of the executive ______ at the moment.,"brunch, brunches",brunch
The ______ has returned his verdict.,"judge, judges",judge
The judge has returned his ______.,"verdict, verdicts",verdict
The ______ has been going on for years.,"trial, trials",trial
The trial has been going on for ______.,"years, year",years
The ______ have been put under legal protection.,"witnesses, witness",witnesses
The witnesses have been put under legal ______.,"protection, protections",protection
The spectacular ______ happened in broad daylight.,"evasion, evasions",evasion
The spectacular evasion happened in broad ______.,"daylight, daylights",daylight
He was put on ______.,"probation, probations",probation
The ______ demonstartors were responsible for violence alongside the demonstrations.,"rioting, riotings",rioting
The rioting ______ were responsible for violence alongside the demonstrations.,"demonstartors, demonstartor",demonstartors
The rioting demonstartors were responsible for ______ alongside the demonstrations.,"violence, violences",violence
______ is one of this country's major issue.,"Corruption, Corruptions",Corruption
Corruption is one of this ______'s major issue.,"country, countries",country
Corruption is one of this country's major ______.,"issue, issues",issue
He did not manage to corrupt the ______ officer.,"police, polices",police
He did not manage to corrupt the police ______.,"officer, officers",officer
The ______ is very influential in this area.,"mafia, mafias",mafia
The mafia is very influential in this ______.,"area, areas",area
______ extortion is ruining the local economy.,"Money, Monies",Money
Money ______ is ruining the local economy.,"extortion, extortions",extortion
Money extortion is ruining the local ______.,"economy, economies",economy
The ______ rang out when the bank was attacked.,"alarm, alarms",alarm
The alarm rang out when the ______ was attacked.,"bank, banks",bank
He is being prosecuted for ______.,"manslaughter, manslaughters",manslaughter
He has been accused of unintentional ______.,"manslaughter, manslaughters",manslaughter
"Following his ______, he has filed an appeal.","conviction, convictions",conviction
"Following his conviction, he has filed an ______.","appeal, appeals",appeal
The ______ are on the run.,"thieves, thieve",thieves
The thieves are on the ______.,"run, runs",run
The ______ has been arrested on the day following the theft.,"burglar, burglars",burglar
The burglar has been arrested on the ______ following the theft.,"day, days",day
The burglar has been arrested on the day following the ______.,"theft, thefts",theft
The ______ were held under the scrutiny of international observers.,"elections, election",elections
The elections were held under the ______ of international observers.,"scrutiny, scrutinies",scrutiny
The elections were held under the scrutiny of international ______.,"observers, observer",observers
He refuses to work for the ______.,"state, states",state
A ______ of people do not feel concerned by politics.,"lot, lots",lot
A lot of ______ do not feel concerned by politics.,"people, peoples",people
A lot of people do not feel concerned by ______.,"politics, politic",politics
Not a ______ of people have listened to the president's speech.,"lot, lots",lot
Not a lot of ______ have listened to the president's speech.,"people, peoples",people
Not a lot of people have listened to the ______'s speech.,"president, presidents",president
The ______ had to abdicate due to the political scandal.,"king, kings",king
The king had to abdicate due to the political ______.,"scandal, scandals",scandal
The ______ of England is in an official visit in this country.,"queen, queens",queen
The queen of England is in an official ______ in this country.,"visit, visits",visit
The queen of England is in an official visit in this ______.,"country, countries",country
The ______'s wedding has been watched by hundreds of thousands viewers.,"prince, princes",prince
The prince's ______ has been watched by hundreds of thousands viewers.,"wedding, weddings",wedding
The prince's wedding has been watched by ______ of thousands viewers.,"hundreds, hundred",hundreds
The ______ ascended to the throne when he was twenty years old.,"emperor, emperors",emperor
The emperor ascended to the ______ when he was twenty years old.,"throne, thrones",throne
The emperor ascended to the throne when he was twenty ______ old.,"years, year",years
The ______ has been proclaimed two centuries ago.,"republic, republics",republic
The republic has been proclaimed two ______ ago.,"centuries, century",centuries
They got married at the ______ hall.,"town, towns",town
They got married at the town ______.,"hall, halls",hall
This ______ has a right-wing mayor.,"city, cities",city
This city has a right-______ mayor.,"wing, wings",wing
This city has a right-wing ______.,"mayor, mayors",mayor
The Health Secretary quit his ______.,"job, jobs",job
The Prime Minister is the ______ of the government.,"head, heads",head
The Prime Minister is the head of the ______.,"government, governments",government
"In this ______, they are politicians from father to son.","family, families",family
"In this family, they are ______ from father to son.","politicians, politician",politicians
"In this family, they are politicians from father to ______.","son, sons",son
______ is a priority in this country.,"Education, Educations",Education
Education is a ______ in this country.,"priority, priorities",priority
Education is a priority in this ______.,"country, countries",country
______ burst out between these two countries.,"War, Wars",War
War burst out between these two ______.,"countries, country",countries
The ______ is mobilized to face this natural catastrophy.,"army, armies",army
The army is mobilized to face this natural ______.,"catastrophy, catastrophies",catastrophy
The public ______ is undergoing a crisis because of layoffs.,"service, services",service
The public service is undergoing a ______ because of layoffs.,"crisis, crises",crisis
The public service is undergoing a crisis because of ______.,"layoffs, layoff",layoffs
He prefers working in the private ______.,"sector, sectors",sector
The ______ refused to lend me money.,"bank, banks",bank
The bank refused to lend me ______.,"money, monies",money
He works in the ______ of insurance.,"field, fields",field
He works in the field of ______.,"insurance, insurances",insurance
The ______ release around a hundred employees last year.,"compagny, compagnies",compagny
The compagny ______ around a hundred employees last year.,"release, releases",release
The compagny release around a hundred ______ last year.,"employees, employee",employees
The ______ is elected by universal suffrage.,"president, presidents",president
The president is elected by universal ______.,"suffrage, suffrages",suffrage
A ______ will be held on the question.,"referendum, referendums",referendum
A referendum will be held on the ______.,"question, questions",question
The capitalist ______ is getting more and more criticized.,"system, systems",system
The ______ at the elections was a disaster.,"defeat, defeats",defeat
The defeat at the ______ was a disaster.,"elections, election",elections
The defeat at the elections was a ______.,"disaster, disasters",disaster
Their ______ of winning the legislative elections are improbable.,"chances, chance",chances
Their chances of winning the legislative ______ are improbable.,"elections, election",elections
"In this ______, the unique party has been ruling for decades.","country, countries",country
"In this country, the unique ______ has been ruling for decades.","party, parties",party
"In this country, the unique party has been ruling for ______.","decades, decade",decades
The senate turned left-______ for the first time of its history.,"wing, wings",wing
The senate turned left-wing for the first ______ of its history.,"time, times",time
The senate turned left-wing for the first time of its ______.,"history, histories",history
The ______ did not approve the bill.,"senators, senator",senators
The senators did not approve the ______.,"bill, bills",bill
The ______ have lost some credibility recently.,"nationalists, nationalist",nationalists
The nationalists have lost some ______ recently.,"credibility, credibilities",credibility
A new ______ is on the verge of being drafted.,"constitution, constitutions",constitution
A new constitution is on the ______ of being drafted.,"verge, verges",verge
Free ______ are not enough to make a democracy.,"elections, election",elections
Free elections are not enough to make a ______.,"democracy, democracies",democracy
"After ______ of dictatorship, the people rose up.","decades, decade",decades
"After decades of ______, the people rose up.","dictatorship, dictatorships",dictatorship
"After decades of dictatorship, the ______ rose up.","people, peoples",people
"At the ______ of monarchy, noble people had priviledges.","time, times",time
"At the time of ______, noble people had priviledges.","monarchy, monarchies",monarchy
"At the time of monarchy, noble ______ had priviledges.","people, peoples",people
The United Kingdom is a constitutional ______.,"monarchy, monarchies",monarchy
______ are falling one after the other.,"Dictators, Dictatorss",Dictators
The ______ are looking into a new bill.,"deputies, deputy",deputies
The deputies are looking into a new ______.,"bill, bills",bill
The ______ of the intelligentsia is worrying the government.,"emigration, emigrations",emigration
The emigration of the intelligentsia is worrying the ______.,"government, governments",government
______ is one of the major issue of the presidential campaign.,"Immigration, Immigrations",Immigration
Immigration is one of the major ______ of the presidential campaign.,"issue, issues",issue
Immigration is one of the major issue of the presidential ______.,"campaign, campaigns",campaign
The ______ of retirement pensions is problematic.,"issue, issues",issue
The issue of ______ pensions is problematic.,"retirement, retirements",retirement
The issue of retirement ______ is problematic.,"pensions, pension",pensions
The Socialist ______ is first in the opinion polls.,"party, parties",party
The Socialist party is first in the ______ polls.,"opinion, opinions",opinion
The Socialist party is first in the opinion ______.,"polls, poll",polls
The ______ have suffered their worst electoral ruin in ten years.,"communists, communist",communists
The communists have suffered their worst electoral ______ in ten years.,"ruin, ruins",ruin
The communists have suffered their worst electoral ruin in ten ______.,"years, year",years
Menem's liberal ______ led Argentina to catastrophe.,"policy, policies",policy
Menem's liberal policy led Argentina to ______.,"catastrophe, catastrophes",catastrophe
The left-______ won the towns elections.,"wing, wings",wing
The left-wing won the ______ elections.,"towns, town",towns
The left-wing won the towns ______.,"elections, election",elections
Her ______ are right-wings but they voted for the left at the last elections.,"parents, parent",parents
Her parents are right-______ but they voted for the left at the last elections.,"wings, wing",wings
Her parents are right-wings but they voted for the ______ at the last elections.,"left, lefts",left
Far-left is a ______ in this country.,"minority, minorities",minority
Far-left is a minority in this ______.,"country, countries",country
The far-______ have benefited of the rise of insecurity.,"right, rights",right
The far-right have benefited of the ______ of insecurity.,"rise, rises",rise
The far-right have benefited of the rise of ______.,"insecurity, insecurities",insecurity
______ have little political inflence.,"Ecologists, Ecologistss",Ecologists
Ecologists have little political ______.,"inflence, inflences",inflence
The ______ has increased taxes to fill in the budget deficit.,"government, governments",government
The government has increased ______ to fill in the budget deficit.,"taxes, tax",taxes
The government has increased taxes to fill in the ______ deficit.,"budget, budgets",budget
______ breaks are contributing to the state budget deficit.,"Tax, Taxes",Tax
Tax ______ are contributing to the state budget deficit.,"breaks, break",breaks
Tax breaks are contributing to the ______ budget deficit.,"state, states",state
The Assistance Publique takes ______ of orphans.,"care, cares",care
The Assistance Publique takes care of ______.,"orphans, orphan",orphans
A ______ state reduces individual freedoms.,"police, polices",police
A police ______ reduces individual freedoms.,"state, states",state
A police state reduces individual ______.,"freedoms, freedom",freedoms
The ______ state is based on a social model.,"welfare, welfares",welfare
The welfare ______ is based on a social model.,"state, states",state
The welfare state is based on a social ______.,"model, models",model
The ______ has lost all its power during the revolution.,"nobility, nobilities",nobility
The nobility has lost all its ______ during the revolution.,"power, powers",power
The nobility has lost all its power during the ______.,"revolution, revolutions",revolution
The rapid ______ of the bourgeoisie contributed to the French revolution.,"development, developments",development
The rapid development of the ______ contributed to the French revolution.,"bourgeoisie, bourgeoisies",bourgeoisie
The rapid development of the bourgeoisie contributed to the French ______.,"revolution, revolutions",revolution
He got his ______ title following a historical battle.,"nobility, nobilities",nobility
He got his nobility ______ following a historical battle.,"title, titles",title
He got his nobility title following a historical ______.,"battle, battles",battle
The ______ are protesting against the reforms on education.,"demonstrators, demonstrator",demonstrators
The demonstrators are protesting against the ______ on education.,"reforms, reform",reforms
The demonstrators are protesting against the reforms on ______.,"education, educations",education
______ has not completely disappeared from this country yet.,"Racism, Racisms",Racism
Racism has not completely disappeared from this ______ yet.,"country, countries",country
The Han is the largest ethnic ______ of China.,"group, groups",group
London is a multicultural ______.,"city, cities",city
This ______ is multiethnic .,"neighborhood, neighborhoods",neighborhood
The ______ ordered the police to step in.,"prefect, prefects",prefect
The prefect ordered the ______ to step in.,"police, polices",police
______ under the Occupation is still a sensitive subject.,"Collaboration, Collaborations",Collaboration
Collaboration under the Occupation is still a sensitive ______.,"subject, subjects",subject
______ against ethnic minorities keep going on.,"Persecutions, Persecutionss",Persecutions
Persecutions against ethnic ______ keep going on.,"minorities, minority",minorities
The familial ______ has a good reputation.,"clan, clans",clan
The familial clan has a good ______.,"reputation, reputations",reputation
The ______ of independence has been signed in this church.,"declaration, declarations",declaration
The declaration of ______ has been signed in this church.,"independence, independences",independence
The declaration of independence has been signed in this ______.,"church, churches",church
This ______ is asking for more autonomy.,"region, regions",region
This region is asking for more ______.,"autonomy, autonomies",autonomy
French ______ is very famous for its tardiness.,"bureaucracy, bureaucracies",bureaucracy
French bureaucracy is very famous for its ______.,"tardiness, tardinesses",tardiness
______ is the shift of powers from the capital city to the shires.,"Regionalization, Regionalizations",Regionalization
Regionalization is the ______ of powers from the capital city to the shires.,"shift, shifts",shift
Regionalization is the shift of ______ from the capital city to the shires.,"powers, power",powers
______ is the concentration of powers in the capital of the country.,"Centralization, Centralizations",Centralization
Centralization is the ______ of powers in the capital of the country.,"concentration, concentrations",concentration
Centralization is the concentration of ______ in the capital of the country.,"powers, power",powers
The ______ is expected to be evenhanded.,"referee, referees",referee
The opposing ______ is playing with one less player.,"team, teams",team
The opposing team is playing with one less ______.,"player, players",player
The ______ are warming up.,"subsitutes, subsitute",subsitutes
One of the ______ got a yellow card.,"forwards, forward",forwards
One of the forwards got a yellow ______.,"card, cards",card
This ______ did not deserve that red card.,"player, players",player
This player did not deserve that red ______.,"card, cards",card
The ______ was very tight.,"game, games",game
This ______ scored three goals in one game.,"team, teams",team
This team scored three ______ in one game.,"goals, goal",goals
This team scored three goals in one ______.,"game, games",game
The ______ have blocked the counter-attack.,"defenders, defender",defenders
The defenders have blocked the ______-attack.,"counter, counters",counter
The defenders have blocked the counter______attack.,"-, -S",-
He plays forward in a ______ team.,"soccer, soccers",soccer
He plays forward in a soccer ______.,"team, teams",team
The final will be held next ______.,"week, weeks",week
Olympic Games are organized every other four ______.,"years, year",years
The Greek ______ got a medal in javelin.,"team, teams",team
The Greek team got a ______ in javelin.,"medal, medals",medal
______ lifting should not be practiced by teenagers.,"Weight, Weights",Weight
Weight ______ should not be practiced by teenagers.,"lifting, liftings",lifting
Weight lifting should not be practiced by ______.,"teenagers, teenager",teenagers
The ______ room of the bus is full.,"storage, storages",storage
The storage ______ of the bus is full.,"room, rooms",room
The storage room of the ______ is full.,"bus, buses",bus
Th ______ is coming into the station.,"train, trains",train
Th train is coming into the ______.,"station, stations",station
The ______ is going to take off soon.,"plane, planes",plane
The ______ flies over the demonstration.,"helicopter, helicopters",helicopter
The helicopter flies over the ______.,"demonstration, demonstrations",demonstration
The ______ is parked next to the grocer's.,"car, cars",car
The car is parked next to the ______'s.,"grocer, grocers",grocer
Where did you put my ______?,"bike, bikes",bike
Shall we take a ______ or wait for the bus?,"taxi, taxis",taxi
Shall we take a taxi or wait for the ______?,"bus, buses",bus
Boat is cheaper than ______.,"plane, planes",plane
We will take the ______ to England.,"ferry, ferries",ferry
You have to take a ______ to cross the river.,"ferry, ferries",ferry
You have to take a ferry to cross the ______.,"river, rivers",river
The ______ is taking on water slowly.,"bark, barks",bark
The bark is taking on ______ slowly.,"water, waters",water
The ______ station is on the other side of town.,"railway, railways",railway
The railway ______ is on the other side of town.,"station, stations",station
The railway station is on the other ______ of town.,"side, sides",side
They had agreed to meet at the ______ station.,"bus, buses",bus
They had agreed to meet at the bus ______.,"station, stations",station
The ______ is closed because of the snow.,"airport, airports",airport
The airport is closed because of the ______.,"snow, snows",snow
The ______ is a small airplane area.,"aerodrome, aerodromes",aerodrome
The aerodrome is a small ______ area.,"airplane, airplanes",airplane
The aerodrome is a small airplane ______.,"area, areas",area
The ______ is closed beacuse of a tempest.,"port, ports",port
The port is closed ______ of a tempest.,"beacuse, beacuses",beacuse
Move your ______ back to have some space for your legs.,"seat, seats",seat
Move your seat back to have some ______ for your legs.,"space, spaces",space
Move your seat back to have some space for your ______.,"legs, leg",legs
The ______ restarted.,"engine, engines",engine
We have to put some ______ in the tank.,"gasoline, gasolines",gasoline
We have to put some gasoline in the ______.,"tank, tanks",tank
______ cars consum less gas.,"Diesel, Diesels",Diesel
Diesel ______ consum less gas.,"cars, car",cars
Diesel cars consum less ______.,"gas, gases",gas
The ______ level is too low.,"oil, oils",oil
The oil ______ is too low.,"level, levels",level
He drove for three ______ straight.,"hours, hour",hours
The ______ flies at a low altitude.,"plane, planes",plane
The plane flies at a low ______.,"altitude, altitudes",altitude
He has been controlled by the ______.,"customs, custom",customs
The ______ made them pay a fine.,"controller, controllers",controller
The controller made them pay a ______.,"fine, fines",fine
The ______ is very dirty in this town.,"metro, metros",metro
The metro is very dirty in this ______.,"town, towns",town
The ______ braked suddenly.,"truck, trucks",truck
He got a ______ accident.,"motorcycle, motorcycles",motorcycle
He got a motorcycle ______.,"accident, accidents",accident
The ______ overtook the car by its right side.,"scooter, scooters",scooter
The scooter overtook the ______ by its right side.,"car, cars",car
The scooter overtook the car by its right ______.,"side, sides",side
"I am going to get the ______, I will be right back.","tickets, ticket",tickets
"If you are controlled without a ______ in the metro, you will be given a fine.","ticket, tickets",ticket
"If you are controlled without a ticket in the ______, you will be given a fine.","metro, metros",metro
"If you are controlled without a ticket in the metro, you will be given a ______.","fine, fines",fine
